iter	Passed	Remaining
403	9729	14353
404	9752	14327
405	9775	14301
406	9798	14276
407	9821	14250
408	9844	14225
409	9865	14196
410	9885	14167
411	9907	14139
412	9930	14114
413	9952	14086
414	9974	14060
415	10000	14038
416	10023	14013
417	10046	13988
418	10069	13963
419	10093	13939
420	10115	13911
421	10137	13884
422	10157	13855
423	10177	13826
424	10198	13797
425	10220	13771
426	10242	13745
427	10264	13718
428	10285	13689
429	10305	13661
430	10327	13634
431	10351	13609
432	10373	13584
433	10395	13557
434	10419	13533
435	10441	13507
436	10466	13484
437	10488	13457
438	10510	13431
439	10531	13403
440	10553	13376
441	10574	13349
442	10596	13323
443	10619	13298
444	10642	13273
445	10666	13250
446	10689	13224
447	10711	13198
448	10732	13170
449	10752	13141
450	10772	13113
451	10794	13086
452	10816	13060
453	10839	13035
454	10865	13014
455	10889	12991
456	10910	12964
457	10931	12936
458	10952	12909
459	10974	12882
460	10996	12857
461	11019	12831
462	11041	12805
463	11063	12780
464	11086	12754
465	11112	12733
466	11135	12709
467	11157	12683
468	11180	12658
469	11202	12632
470	11225	12607
471	11246	12580
472	11270	12556
473	11293	12532
474	11316	12507
475	11337	12481
476	11364	12460
477	11387	12435
478	11410	12410
479	11432	12384
480	11453	12358
481	11475	12332
482	11498	12308
483	11520	12282
484	11543	12257
485	11565	12231
486	11585	12204
487	11608	12179
488	11639	12163
489	11662	12138
490	11684	12113
491	11708	12089
492	11732	12065
493	11754	12040
494	11777	12015
495	11799	11989
496	11819	11962
497	11840	11936
498	11864	11912
499	11886	11886
500	11906	11859
501	11928	11833
502	11951	11808
503	11972	11782
504	11994	11756
505	12017	11732
506	12039	11707
507	12062	11682
508	12085	11658
509	12111	11636
510	12134	11612
511	12157	11587
512	12178	11561
513	12201	11536
514	12223	11511
515	12246	11487
516	12272	11465
517	12292	11438
518	12313	11412
519	12337	11388
520	12359	11363
521	12383	11340
522	12406	11315
523	12428	11289
524	12451	11265
525	12472	11239
526	12496	11215
527	12519	11191
528	12540	11165
529	12560	11138
530	12580	11111
531	12600	11084
532	12620	11057
533	12643	11033
534	12666	11009
535	12690	10985
536	12712	10961
537	12734	10935
538	12756	10910
539	12777	10884
540	12799	10859
541	12823	10836
542	12845	10810
543	12867	10785
