feature,importance
lag_1,89.21015964354578
roll_mean_24,3.680117243235667
lag_24,2.683061868717707
lag_168,1.3778962155860528
roll_std_24,1.1123861914631659
hour,0.94040513254032
month,0.5594632274341088
weekday,0.2961883354148974
is_weekend,0.12203470243964225
temperature,0.01828743962273677
precipitation,0.0
