iter	RMSE
0	59.8919932
1	57.14343419
2	54.55026918
3	52.05946212
4	49.67701729
5	47.42587459
6	45.28819609
7	43.29208732
8	41.36289299
9	39.53825785
10	37.77910837
11	36.13728081
12	34.56685953
13	33.06679385
14	31.64154918
15	30.31173627
16	29.03188857
17	27.82792811
18	26.69941426
19	25.61850941
20	24.60522555
21	23.63744982
22	22.72330136
23	21.86061679
24	21.04720769
25	20.28136635
26	19.55829304
27	18.87683337
28	18.23890824
29	17.64452579
30	17.07901196
31	16.5512842
32	16.05403945
33	15.59156665
34	15.16153749
35	14.75781474
36	14.38109299
37	14.02304468
38	13.69054953
39	13.38425822
40	13.09609526
41	12.83086617
42	12.58728937
43	12.34754722
44	12.1263741
45	11.92124222
46	11.73029002
47	11.55987979
48	11.40160988
49	11.25364241
50	11.11943186
51	10.99175525
52	10.86996536
53	10.7635234
54	10.66423856
55	10.57675069
56	10.48994342
57	10.41194429
58	10.3345993
59	10.26446945
60	10.20337782
61	10.14280538
62	10.09165915
63	10.04098042
64	9.996930643
65	9.952808046
66	9.915120545
67	9.882423178
68	9.849303697
69	9.818575232
70	9.791035699
71	9.765110711
72	9.738313621
73	9.711131058
74	9.689351734
75	9.668847185
76	9.649057964
77	9.630853625
78	9.611955624
79	9.59545967
80	9.581060027
81	9.564437738
82	9.548538568
83	9.535148089
84	9.522374163
85	9.510127965
86	9.500575762
87	9.490952233
88	9.482365606
89	9.474076616
90	9.465673809
91	9.456922346
92	9.448190244
93	9.431110133
94	9.420347032
95	9.415521245
96	9.396042267
97	9.389494207
98	9.384365662
99	9.369484982
100	9.363513247
101	9.358671154
102	9.351550173
103	9.343371123
104	9.336904688
105	9.325128724
106	9.31355242
107	9.309195319
108	9.294167542
109	9.282712339
110	9.274144197
111	9.270279467
112	9.263939405
113	9.260893867
114	9.255177982
115	9.2280342
116	9.214599092
117	9.203704622
118	9.187788138
119	9.182565007
120	9.179249148
121	9.17740619
122	9.173561812
123	9.155633483
124	9.150421901
125	9.129943169
126	9.127201045
127	9.116835226
128	9.101153117
129	9.087428867
130	9.084982918
131	9.076651794
132	9.064889681
133	9.06122694
134	9.057903466
135	9.051544807
136	9.048636457
137	9.037756687
138	9.030162566
139	9.026885023
140	9.017957204
141	9.013523776
142	9.009932623
143	9.005902317
144	8.99557039
145	8.992858182
146	8.986982841
147	8.980748071
148	8.968996612
149	8.962423247
150	8.952948321
151	8.951032206
152	8.946393607
153	8.936069114
154	8.933496991
155	8.927238336
156	8.920074349
157	8.915471843
158	8.901928568
159	8.895392078
160	8.885823431
161	8.876480268
162	8.865005917
163	8.857649999
164	8.854423425
165	8.849720029
166	8.844239116
167	8.84265169
168	8.839097779
169	8.832650798
170	8.829099676
171	8.826606612
172	8.822132286
173	8.818660212
174	8.813761552
175	8.811817804
176	8.805648296
177	8.803829169
178	8.800731451
179	8.795199876
180	8.79336391
181	8.788001915
182	8.783050253
183	8.780961968
184	8.775218507
185	8.772850177
186	8.76005354
187	8.753071193
188	8.750225812
189	8.741254035
190	8.738935295
191	8.729988661
192	8.718783475
193	8.71675314
194	8.714467541
195	8.712608298
196	8.70832625
197	8.693596052
198	8.68771525
199	8.686023782
200	8.683511786
201	8.676187566
202	8.672018767
203	8.667385455
204	8.665314033
205	8.660679094
206	8.656211421
207	8.651694151
208	8.641131628
209	8.633227638
210	8.628451103
211	8.626419868
212	8.624357353
213	8.614867975
214	8.610311251
215	8.608105912
216	8.603001638
217	8.598672669
218	8.597989346
219	8.594271397
220	8.587684535
221	8.582486215
222	8.578294856
223	8.574650437
224	8.569893226
225	8.568476002
226	8.566916723
227	8.563004053
228	8.560243242
229	8.555243134
230	8.554459983
231	8.549498239
232	8.546135832
233	8.54201644
234	8.53342038
235	8.528283891
236	8.524841946
237	8.523524429
238	8.521955203
239	8.519451321
240	8.5128297
241	8.508902379
242	8.507373977
243	8.504870811
244	8.503050906
245	8.498818581
246	8.492423764
247	8.490182211
248	8.486300859
249	8.483940809
250	8.481742875
251	8.477596122
252	8.474233976
253	8.472600792
254	8.470364947
255	8.467880994
256	8.463904656
257	8.458561039
258	8.454823161
259	8.447792768
260	8.446854833
261	8.43889694
262	8.432304593
263	8.429646791
264	8.426102446
265	8.423704961
266	8.420117955
267	8.41890817
268	8.415903307
269	8.413480596
270	8.410791648
271	8.408781035
272	8.407082284
273	8.405746601
274	8.405136508
275	8.404057452
276	8.403234188
277	8.402331087
278	8.399736819
279	8.397577754
280	8.397113904
281	8.396396692
282	8.394932449
283	8.394165397
284	8.39315413
285	8.391232402
286	8.388095565
287	8.385559611
288	8.384350316
289	8.381074568
290	8.377271522
291	8.375115747
292	8.373451854
293	8.37105063
294	8.370755401
295	8.370469115
296	8.366911548
297	8.364937226
298	8.362264415
299	8.361079666
300	8.359515819
301	8.358928539
302	8.358632319
303	8.356880323
304	8.354759446
305	8.353678104
306	8.353086774
307	8.352364964
308	8.350869088
309	8.350483927
310	8.345399656
311	8.343453575
312	8.340563975
313	8.33959074
314	8.336060012
315	8.334684616
316	8.33162829
317	8.331107284
318	8.3293408
319	8.328207443
320	8.326194284
321	8.324752799
322	8.322419623
323	8.321056576
324	8.319177173
325	8.31498266
326	8.313737041
327	8.312345387
328	8.309032196
329	8.305273743
330	8.301586453
331	8.300288723
332	8.296594557
333	8.295040281
334	8.293637525
335	8.292066633
336	8.290877366
337	8.289810699
338	8.289332526
339	8.288151023
340	8.287029459
341	8.285243708
342	8.281910749
343	8.280602907
344	8.279720104
345	8.278243658
346	8.277069195
347	8.276480084
348	8.275843484
349	8.27326707
350	8.268230246
351	8.264669071
352	8.261639524
353	8.258781111
354	8.256725553
355	8.255666481
356	8.254500522
357	8.251471301
358	8.248626347
359	8.24437731
360	8.242506035
361	8.24112279
362	8.240116102
363	8.237368027
364	8.236894902
365	8.233680827
366	8.231205105
367	8.228479793
368	8.225543704
369	8.22490143
370	8.223411269
371	8.220292699
372	8.216705522
373	8.21422725
374	8.211436922
375	8.209784285
376	8.208789669
377	8.205363367
378	8.203948809
379	8.202850774
380	8.201694412
381	8.199045143
382	8.196292087
383	8.194097659
384	8.191520106
385	8.191098046
386	8.189859128
387	8.18702154
388	8.186721638
389	8.184705096
390	8.181707707
391	8.178289047
392	8.173820831
393	8.171222612
394	8.168742984
395	8.166068149
396	8.165715558
397	8.164133569
398	8.161513527
399	8.158800615
400	8.15644955
401	8.155577881
402	8.154856618
403	8.153599477
404	8.150687828
405	8.148677676
406	8.144989139
407	8.143784122
408	8.142771704
409	8.142593888
410	8.140247583
411	8.137667494
412	8.137026183
413	8.135350605
414	8.13190323
415	8.130978952
416	8.129903511
417	8.126360824
418	8.126163572
419	8.12432279
420	8.121400237
421	8.119776956
422	8.1189415
423	8.115680367
424	8.113350302
425	8.10957178
426	8.109083413
427	8.107417353
428	8.103920966
429	8.101987396
430	8.099483483
431	8.09829943
432	8.096823682
433	8.095805693
434	8.094751245
435	8.092378937
436	8.09185615
437	8.090805014
438	8.089419693
439	8.087575565
440	8.085157266
441	8.084418625
442	8.082131816
443	8.079680969
444	8.077767999
445	8.076536414
446	8.075126515
447	8.072576799
448	8.071399041
449	8.07028883
450	8.068655039
451	8.067384688
452	8.066420108
453	8.06466174
454	8.063655509
455	8.062238748
456	8.059576358
457	8.059140072
458	8.058905284
459	8.056662388
460	8.055910106
461	8.054218127
462	8.05345973
463	8.053294011
464	8.053027292
465	8.051988171
466	8.050554415
467	8.048638668
468	8.047694946
469	8.044761231
470	8.041812406
471	8.041000012
472	8.040214081
473	8.037981298
474	8.036040214
475	8.033285872
476	8.031339706
477	8.031020209
478	8.029259997
479	8.027151048
480	8.02627989
481	8.023869604
482	8.019708435
483	8.017378822
484	8.015383827
485	8.013429413
486	8.011238558
487	8.009223155
488	8.005477118
489	8.003957579
490	8.00146256
491	7.9992703
492	7.997461261
493	7.996776472
494	7.996133295
495	7.994329429
496	7.992686559
497	7.990646722
498	7.988462383
499	7.988352768
500	7.985782488
501	7.984516242
502	7.983597168
503	7.982416335
504	7.980957566
505	7.980287323
506	7.977623899
507	7.974842454
508	7.973866878
509	7.972726924
510	7.971154018
511	7.969882426
512	7.96966349
513	7.967190149
514	7.96604819
515	7.9650322
516	7.963102725
517	7.961706152
518	7.959438851
519	7.958852978
520	7.957542323
521	7.956692818
522	7.95593075
523	7.954975127
524	7.953106196
525	7.951595625
526	7.950149879
527	7.948787531
528	7.948046145
529	7.946685218
530	7.944207659
531	7.942112294
532	7.940167859
533	7.937899597
534	7.937423635
535	7.935893089
536	7.933484159
537	7.931112118
538	7.92850573
539	7.928269968
540	7.927983045
541	7.927753306
542	7.924792391
543	7.924566229
544	7.920312793
545	7.91929054
546	7.915401739
547	7.91365502
548	7.911815895
549	7.90889175
550	7.906455273
551	7.905651796
552	7.904915811
553	7.903109118
554	7.901657273
555	7.899546656
556	7.898735353
557	7.898477744
558	7.898326011
559	7.897650575
560	7.893255263
561	7.8903936
562	7.886611909
563	7.886163825
564	7.885572419
565	7.88497575
566	7.884737128
567	7.882446627
568	7.881877938
569	7.88028247
570	7.878548964
571	7.877598513
572	7.876462884
573	7.874876405
574	7.873133535
575	7.872451494
576	7.871853483
577	7.870571286
578	7.869435326
579	7.867529867
580	7.865955012
581	7.865178541
582	7.864115138
583	7.863376379
584	7.863036779
585	7.860955781
586	7.860741643
587	7.857844267
588	7.857349407
589	7.856829407
590	7.855191048
591	7.85329913
592	7.85310003
593	7.852833606
594	7.851266146
595	7.849890598
596	7.848848326
597	7.848603859
598	7.847844355
599	7.846594274
600	7.844543804
601	7.841597409
602	7.839600581
603	7.838400661
604	7.837490363
605	7.837249608
606	7.836832149
607	7.836218022
608	7.834299265
609	7.83290317
610	7.831357415
611	7.831067398
612	7.829580622
613	7.827967135
614	7.827526023
615	7.826519378
616	7.8240992
617	7.820988714
618	7.819573675
619	7.817537145
620	7.816620385
621	7.814086527
622	7.812509604
623	7.812238716
624	7.810759861
625	7.809191081
626	7.808943565
627	7.808614596
628	7.80853032
629	7.806779343
630	7.805745409
631	7.804322174
632	7.803451897
633	7.801048597
634	7.79925127
635	7.798103143
636	7.795917493
637	7.795531022
638	7.793629328
639	7.79334118
640	7.793086497
641	7.792386997
642	7.790898887
643	7.788869697
644	7.787110671
645	7.785712151
646	7.783895035
647	7.783522399
648	7.783125387
649	7.782474914
650	7.77978878
651	7.778801363
652	7.775521608
653	7.775310741
654	7.774586563
655	7.77278833
656	7.771901593
657	7.76890988
658	7.768242997
659	7.767033949
660	7.765763472
661	7.764054861
662	7.763510598
663	7.762448834
664	7.759963825
665	7.759612011
666	7.758425151
667	7.757535573
668	7.755933557
669	7.753728989
670	7.753329999
671	7.752294586
672	7.752060056
673	7.751656917
674	7.751285955
675	7.750193975
676	7.749122893
677	7.748535856
678	7.747546902
679	7.746184987
680	7.745633879
681	7.745254196
682	7.743555681
683	7.74185148
684	7.74070821
685	7.739616032
686	7.738032552
687	7.736639947
688	7.736296346
689	7.734764886
690	7.733098602
691	7.732105095
692	7.731870345
693	7.730156464
694	7.729140667
695	7.728732123
696	7.724945816
697	7.723352287
698	7.722788356
699	7.720045554
700	7.719839494
701	7.719315325
702	7.717429083
703	7.71707995
704	7.716735771
705	7.715441673
706	7.713758412
707	7.712927299
708	7.712674501
709	7.712085095
710	7.711782725
711	7.711606988
712	7.711324323
713	7.710145938
714	7.709425804
715	7.709104608
716	7.708872215
717	7.708663933
718	7.708370232
719	7.707566932
720	7.705855223
721	7.705100091
722	7.703745909
723	7.702239544
724	7.701004304
725	7.700381192
726	7.700199237
727	7.699834747
728	7.699004543
729	7.697470788
730	7.697200682
731	7.694995634
732	7.694777785
733	7.694486178
734	7.692767051
735	7.692215125
736	7.691041125
737	7.690854354
738	7.690360824
739	7.690158264
740	7.689393794
741	7.688383807
742	7.687634663
743	7.686553342
744	7.684030568
745	7.683368125
746	7.681679431
747	7.679913321
748	7.679757719
749	7.678620605
750	7.677769798
751	7.677132327
752	7.675251006
753	7.673371651
754	7.672755065
755	7.671934274
756	7.670423695
757	7.667728175
758	7.665688324
759	7.664352788
760	7.663458855
761	7.662687461
762	7.660823553
763	7.659370259
764	7.658757819
765	7.658592856
766	7.657920666
767	7.656886136
768	7.655269081
769	7.655027299
770	7.654281018
771	7.653574125
772	7.652689725
773	7.651833773
774	7.650352106
775	7.649765895
776	7.649270009
777	7.648262377
778	7.648001687
779	7.646695874
780	7.646383081
781	7.645993539
782	7.645707661
783	7.644356906
784	7.643983669
785	7.643205598
786	7.642232638
787	7.640015177
788	7.639012449
789	7.637922621
790	7.636416662
791	7.636153954
792	7.636019445
793	7.63483324
794	7.634521283
795	7.63286817
796	7.632690502
797	7.631960668
798	7.630804863
799	7.630535931
800	7.63025558
801	7.629608816
802	7.629483752
803	7.627616683
804	7.625284044
805	7.624356661
806	7.624038286
807	7.622689266
808	7.62074512
809	7.619899947
810	7.618872504
811	7.617984158
812	7.617864689
813	7.617637515
814	7.616725407
815	7.615517794
816	7.614434471
817	7.613307339
818	7.612937961
819	7.61282749
820	7.611107878
821	7.610954629
822	7.609384455
823	7.608644511
824	7.607117191
825	7.606139927
826	7.605902691
827	7.605429472
