iter	Passed	Remaining
398	94505	142349
399	94813	142220
400	95027	141948
401	95302	141768
402	95483	141447
403	95706	141191
404	95861	140833
405	96086	140579
406	96381	140428
407	96613	140183
408	96861	139964
409	97097	139725
410	97352	139515
411	97597	139289
412	97824	139038
413	98089	138842
414	98344	138630
415	98575	138385
416	98689	137976
417	98876	137670
418	99067	137370
419	99306	137137
420	99489	136827
421	99711	136571
422	99825	136168
423	99941	135770
424	100216	135587
425	100489	135401
426	100746	135194
427	101006	134990
428	101257	134774
429	101522	134576
430	101770	134355
431	102027	134146
432	102220	133854
433	102336	133461
434	102570	133223
435	102801	132982
436	103057	132772
437	103292	132534
438	103532	132304
439	103810	132121
440	104043	131882
441	104276	131643
442	104526	131424
443	104755	131179
444	104979	130929
445	105211	130688
446	105388	130380
447	105615	130133
448	105899	129956
449	106148	129737
450	106414	129538
451	106592	129231
452	106781	128938
453	107010	128695
454	107168	128366
455	107406	128133
456	107675	127938
457	107913	127705
458	108135	127454
459	108352	127196
460	108473	126826
461	108738	126626
462	108911	126318
463	109024	125942
464	109123	125551
465	109279	125225
466	109521	124999
467	109744	124752
468	109970	124508
469	110229	124300
470	110466	124069
471	110644	123772
472	110814	123465
473	111060	123244
474	111310	123027
475	111559	122808
476	111793	122574
477	112043	122357
478	112176	122012
479	112432	121801
480	112675	121576
481	112945	121380
482	113196	121165
483	113454	120955
484	113690	120723
485	113972	120538
486	114140	120234
487	114383	120008
488	114614	119771
489	114810	119496
490	114996	119212
491	115225	118972
492	115371	118647
493	115610	118418
494	115868	118209
495	116120	117993
496	116352	117757
497	116594	117531
498	116825	117294
499	117034	117034
500	117272	116804
501	117491	116555
502	117724	116320
503	117974	116101
504	118222	115881
505	118440	115631
506	118675	115398
507	118921	115176
508	119180	114965
509	119421	114738
510	119656	114505
511	119902	114281
512	120178	114087
513	120438	113877
514	120688	113658
515	120973	113471
516	121236	113263
517	121498	113054
518	121779	112863
519	122005	112620
520	122228	112375
521	122476	112152
522	122711	111918
523	122887	111630
524	123159	111430
525	123371	111174
526	123641	110972
527	123871	110733
528	124116	110508
529	124255	110188
530	124495	109958
531	124662	109665
532	124891	109426
533	125005	109086
534	125248	108860
535	125507	108648
536	125721	108396
537	125971	108175
538	126222	107956
539	126405	107679
540	126656	107458
541	126783	107134
542	127026	106907
543	127189	106614
544	127384	106348
545	127619	106115
546	127737	105785
547	127910	105503
548	128160	105282
549	128414	105066
550	128654	104838
551	128920	104630
