zone,timestamp,price_eur_per_mwh
NO1,2026-03-17T00:00:00+00:00,105.84
NO1,2026-03-17T01:00:00+00:00,104.58
NO1,2026-03-17T02:00:00+00:00,104.1
NO1,2026-03-17T03:00:00+00:00,107.45
NO1,2026-03-17T04:00:00+00:00,106.85
NO1,2026-03-17T05:00:00+00:00,113.91
NO1,2026-03-17T06:00:00+00:00,115.9
NO1,2026-03-17T07:00:00+00:00,120.97
NO1,2026-03-17T08:00:00+00:00,119.89
NO1,2026-03-17T09:00:00+00:00,114.59
NO1,2026-03-17T10:00:00+00:00,109.04
NO1,2026-03-17T11:00:00+00:00,98.58
NO1,2026-03-17T12:00:00+00:00,101.92
NO1,2026-03-17T13:00:00+00:00,102.9
NO1,2026-03-17T14:00:00+00:00,105.17
NO1,2026-03-17T15:00:00+00:00,111.41
NO1,2026-03-17T16:00:00+00:00,114.67
NO1,2026-03-17T17:00:00+00:00,118.45
NO1,2026-03-17T18:00:00+00:00,123.99
NO1,2026-03-17T19:00:00+00:00,119.58
NO1,2026-03-17T20:00:00+00:00,115.86
NO1,2026-03-17T21:00:00+00:00,115.57
NO1,2026-03-17T22:00:00+00:00,110.88
NO1,2026-03-17T23:00:00+00:00,105.62
NO2,2026-03-17T00:00:00+00:00,104.63
NO2,2026-03-17T01:00:00+00:00,104.17
NO2,2026-03-17T02:00:00+00:00,102.81
NO2,2026-03-17T03:00:00+00:00,106.3
NO2,2026-03-17T04:00:00+00:00,106.16
NO2,2026-03-17T05:00:00+00:00,115.05
NO2,2026-03-17T06:00:00+00:00,115.81
NO2,2026-03-17T07:00:00+00:00,122.08
NO2,2026-03-17T08:00:00+00:00,120.55
NO2,2026-03-17T09:00:00+00:00,110.87
NO2,2026-03-17T10:00:00+00:00,104.0
NO2,2026-03-17T11:00:00+00:00,92.79
NO2,2026-03-17T12:00:00+00:00,94.52
NO2,2026-03-17T13:00:00+00:00,94.21
NO2,2026-03-17T14:00:00+00:00,99.98
NO2,2026-03-17T15:00:00+00:00,108.41
NO2,2026-03-17T16:00:00+00:00,113.13
NO2,2026-03-17T17:00:00+00:00,118.43
NO2,2026-03-17T18:00:00+00:00,126.69
NO2,2026-03-17T19:00:00+00:00,120.71
NO2,2026-03-17T20:00:00+00:00,115.71
NO2,2026-03-17T21:00:00+00:00,113.43
NO2,2026-03-17T22:00:00+00:00,104.21
NO2,2026-03-17T23:00:00+00:00,100.93
NO3,2026-03-17T00:00:00+00:00,79.91
NO3,2026-03-17T01:00:00+00:00,75.53
NO3,2026-03-17T02:00:00+00:00,76.57
NO3,2026-03-17T03:00:00+00:00,77.45
NO3,2026-03-17T04:00:00+00:00,79.2
NO3,2026-03-17T05:00:00+00:00,71.81
NO3,2026-03-17T06:00:00+00:00,60.81
NO3,2026-03-17T07:00:00+00:00,57.34
NO3,2026-03-17T08:00:00+00:00,65.86
NO3,2026-03-17T09:00:00+00:00,92.43
NO3,2026-03-17T10:00:00+00:00,101.33
NO3,2026-03-17T11:00:00+00:00,103.13
NO3,2026-03-17T12:00:00+00:00,101.37
NO3,2026-03-17T13:00:00+00:00,110.36
NO3,2026-03-17T14:00:00+00:00,101.33
NO3,2026-03-17T15:00:00+00:00,93.07
NO3,2026-03-17T16:00:00+00:00,85.21
NO3,2026-03-17T17:00:00+00:00,69.78
