zone,timestamp,price_eur_per_mwh
NO1,2026-02-10T00:00:00+00:00,119.54
NO1,2026-02-10T01:00:00+00:00,113.37
NO1,2026-02-10T02:00:00+00:00,110.02
NO1,2026-02-10T03:00:00+00:00,108.81
NO1,2026-02-10T04:00:00+00:00,106.65
NO1,2026-02-10T05:00:00+00:00,109.0
NO1,2026-02-10T06:00:00+00:00,192.54
NO1,2026-02-10T07:00:00+00:00,298.53
NO1,2026-02-10T08:00:00+00:00,322.14
NO1,2026-02-10T09:00:00+00:00,256.69
NO1,2026-02-10T10:00:00+00:00,269.06
NO1,2026-02-10T11:00:00+00:00,259.06
NO1,2026-02-10T12:00:00+00:00,204.78
NO1,2026-02-10T13:00:00+00:00,184.56
NO1,2026-02-10T14:00:00+00:00,174.25
NO1,2026-02-10T15:00:00+00:00,218.75
NO1,2026-02-10T16:00:00+00:00,287.45
NO1,2026-02-10T17:00:00+00:00,335.07
NO1,2026-02-10T18:00:00+00:00,226.75
NO1,2026-02-10T19:00:00+00:00,190.0
NO1,2026-02-10T20:00:00+00:00,159.51
NO1,2026-02-10T21:00:00+00:00,124.64
NO1,2026-02-10T22:00:00+00:00,109.8
NO1,2026-02-10T23:00:00+00:00,109.23
NO2,2026-02-10T00:00:00+00:00,102.24
NO2,2026-02-10T01:00:00+00:00,100.41
NO2,2026-02-10T02:00:00+00:00,100.0
NO2,2026-02-10T03:00:00+00:00,99.21
NO2,2026-02-10T04:00:00+00:00,100.38
NO2,2026-02-10T05:00:00+00:00,103.78
NO2,2026-02-10T06:00:00+00:00,146.68
NO2,2026-02-10T07:00:00+00:00,145.72
NO2,2026-02-10T08:00:00+00:00,137.98
NO2,2026-02-10T09:00:00+00:00,141.71
NO2,2026-02-10T10:00:00+00:00,128.53
NO2,2026-02-10T11:00:00+00:00,111.28
NO2,2026-02-10T12:00:00+00:00,106.45
NO2,2026-02-10T13:00:00+00:00,106.9
NO2,2026-02-10T14:00:00+00:00,115.0
NO2,2026-02-10T15:00:00+00:00,118.21
NO2,2026-02-10T16:00:00+00:00,126.77
NO2,2026-02-10T17:00:00+00:00,139.84
NO2,2026-02-10T18:00:00+00:00,125.86
NO2,2026-02-10T19:00:00+00:00,120.29
NO2,2026-02-10T20:00:00+00:00,106.17
NO2,2026-02-10T21:00:00+00:00,105.36
NO2,2026-02-10T22:00:00+00:00,102.75
NO2,2026-02-10T23:00:00+00:00,99.99
NO3,2026-02-10T00:00:00+00:00,118.33
NO3,2026-02-10T01:00:00+00:00,111.83
NO3,2026-02-10T02:00:00+00:00,109.47
NO3,2026-02-10T03:00:00+00:00,108.29
NO3,2026-02-10T04:00:00+00:00,106.27
NO3,2026-02-10T05:00:00+00:00,107.78
NO3,2026-02-10T06:00:00+00:00,190.0
NO3,2026-02-10T07:00:00+00:00,290.09
NO3,2026-02-10T08:00:00+00:00,311.87
NO3,2026-02-10T09:00:00+00:00,250.65
NO3,2026-02-10T10:00:00+00:00,261.67
NO3,2026-02-10T11:00:00+00:00,251.38
NO3,2026-02-10T12:00:00+00:00,199.61
NO3,2026-02-10T13:00:00+00:00,180.25
NO3,2026-02-10T14:00:00+00:00,170.98
NO3,2026-02-10T15:00:00+00:00,213.17
NO3,2026-02-10T16:00:00+00:00,278.6
NO3,2026-02-10T17:00:00+00:00,324.23
