zone,timestamp,price_eur_per_mwh
NO1,2026-05-01T00:00:00+00:00,99.65
NO1,2026-05-01T01:00:00+00:00,96.14
NO1,2026-05-01T02:00:00+00:00,94.96
NO1,2026-05-01T03:00:00+00:00,94.34
NO1,2026-05-01T04:00:00+00:00,105.29
NO1,2026-05-01T05:00:00+00:00,92.36
NO1,2026-05-01T06:00:00+00:00,74.56
NO1,2026-05-01T07:00:00+00:00,61.4
NO1,2026-05-01T08:00:00+00:00,35.04
NO1,2026-05-01T09:00:00+00:00,24.12
NO1,2026-05-01T10:00:00+00:00,2.9
NO1,2026-05-01T11:00:00+00:00,32.43
NO1,2026-05-01T12:00:00+00:00,29.55
NO1,2026-05-01T13:00:00+00:00,27.5
NO1,2026-05-01T14:00:00+00:00,28.18
NO1,2026-05-01T15:00:00+00:00,28.5
NO1,2026-05-01T16:00:00+00:00,76.96
NO1,2026-05-01T17:00:00+00:00,100.04
NO1,2026-05-01T18:00:00+00:00,111.36
NO1,2026-05-01T19:00:00+00:00,111.76
NO1,2026-05-01T20:00:00+00:00,111.38
NO1,2026-05-01T21:00:00+00:00,100.86
NO1,2026-05-01T22:00:00+00:00,97.34
NO1,2026-05-01T23:00:00+00:00,105.38
NO2,2026-05-01T00:00:00+00:00,99.65
NO2,2026-05-01T01:00:00+00:00,96.14
NO2,2026-05-01T02:00:00+00:00,94.96
NO2,2026-05-01T03:00:00+00:00,94.34
NO2,2026-05-01T04:00:00+00:00,105.29
NO2,2026-05-01T05:00:00+00:00,92.36
NO2,2026-05-01T06:00:00+00:00,74.56
NO2,2026-05-01T07:00:00+00:00,63.71
NO2,2026-05-01T08:00:00+00:00,-2.11
NO2,2026-05-01T09:00:00+00:00,28.57
NO2,2026-05-01T10:00:00+00:00,-4.77
NO2,2026-05-01T11:00:00+00:00,28.34
NO2,2026-05-01T12:00:00+00:00,25.76
NO2,2026-05-01T13:00:00+00:00,28.04
NO2,2026-05-01T14:00:00+00:00,28.58
NO2,2026-05-01T15:00:00+00:00,27.48
NO2,2026-05-01T16:00:00+00:00,76.96
NO2,2026-05-01T17:00:00+00:00,100.04
NO2,2026-05-01T18:00:00+00:00,115.22
NO2,2026-05-01T19:00:00+00:00,115.75
NO2,2026-05-01T20:00:00+00:00,115.0
NO2,2026-05-01T21:00:00+00:00,100.86
NO2,2026-05-01T22:00:00+00:00,97.34
NO2,2026-05-01T23:00:00+00:00,105.38
NO3,2026-05-01T00:00:00+00:00,62.11
NO3,2026-05-01T01:00:00+00:00,61.95
NO3,2026-05-01T02:00:00+00:00,62.04
NO3,2026-05-01T03:00:00+00:00,63.6
NO3,2026-05-01T04:00:00+00:00,70.27
NO3,2026-05-01T05:00:00+00:00,60.35
NO3,2026-05-01T06:00:00+00:00,51.7
NO3,2026-05-01T07:00:00+00:00,39.83
NO3,2026-05-01T08:00:00+00:00,35.2
NO3,2026-05-01T09:00:00+00:00,27.67
