zone,timestamp,price_eur_per_mwh
NO1,2026-02-22T00:00:00+00:00,79.09
NO1,2026-02-22T01:00:00+00:00,75.63
NO1,2026-02-22T02:00:00+00:00,71.47
NO1,2026-02-22T03:00:00+00:00,73.07
NO1,2026-02-22T04:00:00+00:00,73.45
NO1,2026-02-22T05:00:00+00:00,70.54
NO1,2026-02-22T06:00:00+00:00,70.63
NO1,2026-02-22T07:00:00+00:00,73.26
NO1,2026-02-22T08:00:00+00:00,78.41
NO1,2026-02-22T09:00:00+00:00,78.28
NO1,2026-02-22T10:00:00+00:00,78.43
NO1,2026-02-22T11:00:00+00:00,78.4
NO1,2026-02-22T12:00:00+00:00,78.51
NO1,2026-02-22T13:00:00+00:00,78.18
NO1,2026-02-22T14:00:00+00:00,76.33
NO1,2026-02-22T15:00:00+00:00,81.12
NO1,2026-02-22T16:00:00+00:00,86.13
NO1,2026-02-22T17:00:00+00:00,94.96
NO1,2026-02-22T18:00:00+00:00,94.82
NO1,2026-02-22T19:00:00+00:00,89.8
NO1,2026-02-22T20:00:00+00:00,82.82
NO1,2026-02-22T21:00:00+00:00,82.39
NO1,2026-02-22T22:00:00+00:00,80.18
NO1,2026-02-22T23:00:00+00:00,81.39
NO2,2026-02-22T00:00:00+00:00,74.27
NO2,2026-02-22T01:00:00+00:00,72.76
NO2,2026-02-22T02:00:00+00:00,67.57
NO2,2026-02-22T03:00:00+00:00,68.23
NO2,2026-02-22T04:00:00+00:00,67.08
NO2,2026-02-22T05:00:00+00:00,63.26
NO2,2026-02-22T06:00:00+00:00,65.85
NO2,2026-02-22T07:00:00+00:00,68.55
NO2,2026-02-22T08:00:00+00:00,74.54
NO2,2026-02-22T09:00:00+00:00,75.56
NO2,2026-02-22T10:00:00+00:00,75.52
NO2,2026-02-22T11:00:00+00:00,75.52
NO2,2026-02-22T12:00:00+00:00,76.46
NO2,2026-02-22T13:00:00+00:00,77.66
NO2,2026-02-22T14:00:00+00:00,74.75
NO2,2026-02-22T15:00:00+00:00,77.11
NO2,2026-02-22T16:00:00+00:00,85.85
NO2,2026-02-22T17:00:00+00:00,94.96
NO2,2026-02-22T18:00:00+00:00,94.47
NO2,2026-02-22T19:00:00+00:00,89.47
NO2,2026-02-22T20:00:00+00:00,82.36
NO2,2026-02-22T21:00:00+00:00,82.34
NO2,2026-02-22T22:00:00+00:00,78.96
NO2,2026-02-22T23:00:00+00:00,79.4
NO3,2026-02-22T00:00:00+00:00,88.75
NO3,2026-02-22T01:00:00+00:00,84.85
NO3,2026-02-22T02:00:00+00:00,86.9
NO3,2026-02-22T03:00:00+00:00,84.39
NO3,2026-02-22T04:00:00+00:00,88.69
NO3,2026-02-22T05:00:00+00:00,89.01
NO3,2026-02-22T06:00:00+00:00,93.82
NO3,2026-02-22T07:00:00+00:00,86.58
NO3,2026-02-22T08:00:00+00:00,89.67
NO3,2026-02-22T09:00:00+00:00,85.92
NO3,2026-02-22T10:00:00+00:00,84.31
NO3,2026-02-22T11:00:00+00:00,83.46
NO3,2026-02-22T12:00:00+00:00,82.39
NO3,2026-02-22T13:00:00+00:00,80.52
NO3,2026-02-22T14:00:00+00:00,79.98
