zone,timestamp,price_eur_per_mwh
NO1,2026-03-14T00:00:00+00:00,105.64
NO1,2026-03-14T01:00:00+00:00,103.14
NO1,2026-03-14T02:00:00+00:00,101.84
NO1,2026-03-14T03:00:00+00:00,101.95
NO1,2026-03-14T04:00:00+00:00,101.95
NO1,2026-03-14T05:00:00+00:00,102.94
NO1,2026-03-14T06:00:00+00:00,112.12
NO1,2026-03-14T07:00:00+00:00,114.34
NO1,2026-03-14T08:00:00+00:00,113.24
NO1,2026-03-14T09:00:00+00:00,110.78
NO1,2026-03-14T10:00:00+00:00,105.25
NO1,2026-03-14T11:00:00+00:00,105.71
NO1,2026-03-14T12:00:00+00:00,105.77
NO1,2026-03-14T13:00:00+00:00,104.65
NO1,2026-03-14T14:00:00+00:00,107.84
NO1,2026-03-14T15:00:00+00:00,115.24
NO1,2026-03-14T16:00:00+00:00,119.11
NO1,2026-03-14T17:00:00+00:00,132.72
NO1,2026-03-14T18:00:00+00:00,133.03
NO1,2026-03-14T19:00:00+00:00,123.64
NO1,2026-03-14T20:00:00+00:00,121.61
NO1,2026-03-14T21:00:00+00:00,118.73
NO1,2026-03-14T22:00:00+00:00,117.27
NO1,2026-03-14T23:00:00+00:00,115.46
NO2,2026-03-14T00:00:00+00:00,108.27
NO2,2026-03-14T01:00:00+00:00,102.97
NO2,2026-03-14T02:00:00+00:00,101.37
NO2,2026-03-14T03:00:00+00:00,102.75
NO2,2026-03-14T04:00:00+00:00,103.25
NO2,2026-03-14T05:00:00+00:00,104.78
NO2,2026-03-14T06:00:00+00:00,114.89
NO2,2026-03-14T07:00:00+00:00,117.16
NO2,2026-03-14T08:00:00+00:00,116.03
NO2,2026-03-14T09:00:00+00:00,113.46
NO2,2026-03-14T10:00:00+00:00,106.89
NO2,2026-03-14T11:00:00+00:00,107.69
NO2,2026-03-14T12:00:00+00:00,108.25
NO2,2026-03-14T13:00:00+00:00,106.88
NO2,2026-03-14T14:00:00+00:00,109.84
NO2,2026-03-14T15:00:00+00:00,117.25
NO2,2026-03-14T16:00:00+00:00,121.07
NO2,2026-03-14T17:00:00+00:00,135.19
NO2,2026-03-14T18:00:00+00:00,135.61
NO2,2026-03-14T19:00:00+00:00,125.88
NO2,2026-03-14T20:00:00+00:00,123.88
NO2,2026-03-14T21:00:00+00:00,120.94
NO2,2026-03-14T22:00:00+00:00,119.43
NO2,2026-03-14T23:00:00+00:00,117.77
NO3,2026-03-14T00:00:00+00:00,47.33
NO3,2026-03-14T01:00:00+00:00,60.66
NO3,2026-03-14T02:00:00+00:00,61.0
NO3,2026-03-14T03:00:00+00:00,56.56
NO3,2026-03-14T04:00:00+00:00,54.04
NO3,2026-03-14T05:00:00+00:00,51.85
NO3,2026-03-14T06:00:00+00:00,52.61
NO3,2026-03-14T07:00:00+00:00,54.14
NO3,2026-03-14T08:00:00+00:00,53.78
NO3,2026-03-14T09:00:00+00:00,53.49
NO3,2026-03-14T10:00:00+00:00,58.71
NO3,2026-03-14T11:00:00+00:00,57.36
NO3,2026-03-14T12:00:00+00:00,54.41
NO3,2026-03-14T13:00:00+00:00,57.54
NO3,2026-03-14T14:00:00+00:00,63.91
NO3,2026-03-14T15:00:00+00:00,70.52
NO3,2026-03-14T16:00:00+00:00,76.25
NO3,2026-03-14T17:00:00+00:00,78.29
NO3,2026-03-14T18:00:00+00:00,77.24
NO3,2026-03-14T19:00:00+00:00,74.73
NO3,2026-03-14T20:00:00+00:00,72.33
NO3,2026-03-14T21:00:00+00:00,71.39
NO3,2026-03-14T22:00:00+00:00,70.97
NO3,2026-03-14T23:00:00+00:00,66.11
NO4,2026-03-14T00:00:00+00:00,15.57
NO4,2026-03-14T01:00:00+00:00,0.9
NO4,2026-03-14T02:00:00+00:00,-0.29
NO4,2026-03-14T03:00:00+00:00,8.15
NO4,2026-03-14T04:00:00+00:00,11.0
NO4,2026-03-14T05:00:00+00:00,14.29
