zone,timestamp,price_eur_per_mwh
NO1,2026-02-16T00:00:00+00:00,89.87
NO1,2026-02-16T01:00:00+00:00,88.28
NO1,2026-02-16T02:00:00+00:00,87.0
NO1,2026-02-16T03:00:00+00:00,87.56
NO1,2026-02-16T04:00:00+00:00,87.18
NO1,2026-02-16T05:00:00+00:00,91.39
NO1,2026-02-16T06:00:00+00:00,94.18
NO1,2026-02-16T07:00:00+00:00,102.76
NO1,2026-02-16T08:00:00+00:00,106.96
NO1,2026-02-16T09:00:00+00:00,106.68
NO1,2026-02-16T10:00:00+00:00,103.44
NO1,2026-02-16T11:00:00+00:00,104.63
NO1,2026-02-16T12:00:00+00:00,105.84
NO1,2026-02-16T13:00:00+00:00,105.16
NO1,2026-02-16T14:00:00+00:00,101.93
NO1,2026-02-16T15:00:00+00:00,100.94
NO1,2026-02-16T16:00:00+00:00,107.82
NO1,2026-02-16T17:00:00+00:00,112.99
NO1,2026-02-16T18:00:00+00:00,123.8
NO1,2026-02-16T19:00:00+00:00,118.05
NO1,2026-02-16T20:00:00+00:00,113.12
NO1,2026-02-16T21:00:00+00:00,109.68
NO1,2026-02-16T22:00:00+00:00,109.03
NO1,2026-02-16T23:00:00+00:00,90.86
NO2,2026-02-16T00:00:00+00:00,91.35
NO2,2026-02-16T01:00:00+00:00,89.25
NO2,2026-02-16T02:00:00+00:00,89.99
NO2,2026-02-16T03:00:00+00:00,88.06
NO2,2026-02-16T04:00:00+00:00,86.52
NO2,2026-02-16T05:00:00+00:00,86.61
NO2,2026-02-16T06:00:00+00:00,93.39
NO2,2026-02-16T07:00:00+00:00,100.0
NO2,2026-02-16T08:00:00+00:00,109.29
NO2,2026-02-16T09:00:00+00:00,108.96
NO2,2026-02-16T10:00:00+00:00,99.55
NO2,2026-02-16T11:00:00+00:00,95.0
NO2,2026-02-16T12:00:00+00:00,96.27
NO2,2026-02-16T13:00:00+00:00,94.64
NO2,2026-02-16T14:00:00+00:00,96.38
NO2,2026-02-16T15:00:00+00:00,99.34
NO2,2026-02-16T16:00:00+00:00,104.07
NO2,2026-02-16T17:00:00+00:00,114.85
NO2,2026-02-16T18:00:00+00:00,126.59
NO2,2026-02-16T19:00:00+00:00,111.12
NO2,2026-02-16T20:00:00+00:00,100.68
NO2,2026-02-16T21:00:00+00:00,97.65
NO2,2026-02-16T22:00:00+00:00,96.54
NO2,2026-02-16T23:00:00+00:00,86.91
NO3,2026-02-16T00:00:00+00:00,49.56
NO3,2026-02-16T01:00:00+00:00,49.4
NO3,2026-02-16T02:00:00+00:00,49.11
NO3,2026-02-16T03:00:00+00:00,49.58
NO3,2026-02-16T04:00:00+00:00,50.03
NO3,2026-02-16T05:00:00+00:00,51.62
NO3,2026-02-16T06:00:00+00:00,75.0
NO3,2026-02-16T07:00:00+00:00,75.77
NO3,2026-02-16T08:00:00+00:00,60.78
NO3,2026-02-16T09:00:00+00:00,61.15
NO3,2026-02-16T10:00:00+00:00,77.05
NO3,2026-02-16T11:00:00+00:00,78.26
NO3,2026-02-16T12:00:00+00:00,76.52
NO3,2026-02-16T13:00:00+00:00,76.98
NO3,2026-02-16T14:00:00+00:00,76.01
NO3,2026-02-16T15:00:00+00:00,72.28
NO3,2026-02-16T16:00:00+00:00,73.65
NO3,2026-02-16T17:00:00+00:00,74.57
NO3,2026-02-16T18:00:00+00:00,66.58
NO3,2026-02-16T19:00:00+00:00,62.75
NO3,2026-02-16T20:00:00+00:00,59.72
NO3,2026-02-16T21:00:00+00:00,57.03
NO3,2026-02-16T22:00:00+00:00,54.84
NO3,2026-02-16T23:00:00+00:00,96.14
NO4,2026-02-16T00:00:00+00:00,27.99
NO4,2026-02-16T01:00:00+00:00,27.07
NO4,2026-02-16T02:00:00+00:00,26.89
NO4,2026-02-16T03:00:00+00:00,26.49
NO4,2026-02-16T04:00:00+00:00,25.15
NO4,2026-02-16T05:00:00+00:00,26.92
NO4,2026-02-16T06:00:00+00:00,31.1
NO4,2026-02-16T07:00:00+00:00,33.49
NO4,2026-02-16T08:00:00+00:00,33.93
NO4,2026-02-16T09:00:00+00:00,34.54
NO4,2026-02-16T10:00:00+00:00,43.35
NO4,2026-02-16T11:00:00+00:00,49.51
NO4,2026-02-16T12:00:00+00:00,54.03
NO4,2026-02-16T13:00:00+00:00,62.84
