zone,timestamp,price_eur_per_mwh
NO1,2026-04-04T00:00:00+00:00,64.66
NO1,2026-04-04T01:00:00+00:00,69.83
NO1,2026-04-04T02:00:00+00:00,73.96
NO1,2026-04-04T03:00:00+00:00,76.51
NO1,2026-04-04T04:00:00+00:00,75.75
NO1,2026-04-04T05:00:00+00:00,91.84
NO1,2026-04-04T06:00:00+00:00,93.67
NO1,2026-04-04T07:00:00+00:00,95.15
NO1,2026-04-04T08:00:00+00:00,101.98
NO1,2026-04-04T09:00:00+00:00,99.15
NO1,2026-04-04T10:00:00+00:00,96.54
NO1,2026-04-04T11:00:00+00:00,71.41
NO1,2026-04-04T12:00:00+00:00,67.2
NO1,2026-04-04T13:00:00+00:00,64.95
NO1,2026-04-04T14:00:00+00:00,64.36
NO1,2026-04-04T15:00:00+00:00,61.5
NO1,2026-04-04T16:00:00+00:00,89.23
NO1,2026-04-04T17:00:00+00:00,106.93
NO1,2026-04-04T18:00:00+00:00,112.32
NO1,2026-04-04T19:00:00+00:00,105.78
NO1,2026-04-04T20:00:00+00:00,92.93
NO1,2026-04-04T21:00:00+00:00,75.46
NO1,2026-04-04T22:00:00+00:00,64.96
NO1,2026-04-04T23:00:00+00:00,64.87
NO2,2026-04-04T00:00:00+00:00,50.0
NO2,2026-04-04T01:00:00+00:00,50.3
NO2,2026-04-04T02:00:00+00:00,63.49
NO2,2026-04-04T03:00:00+00:00,69.33
NO2,2026-04-04T04:00:00+00:00,52.39
NO2,2026-04-04T05:00:00+00:00,91.53
NO2,2026-04-04T06:00:00+00:00,93.63
NO2,2026-04-04T07:00:00+00:00,86.0
NO2,2026-04-04T08:00:00+00:00,89.22
NO2,2026-04-04T09:00:00+00:00,81.04
NO2,2026-04-04T10:00:00+00:00,79.0
NO2,2026-04-04T11:00:00+00:00,79.0
NO2,2026-04-04T12:00:00+00:00,39.26
NO2,2026-04-04T13:00:00+00:00,37.49
NO2,2026-04-04T14:00:00+00:00,34.27
NO2,2026-04-04T15:00:00+00:00,41.65
NO2,2026-04-04T16:00:00+00:00,88.13
NO2,2026-04-04T17:00:00+00:00,106.78
NO2,2026-04-04T18:00:00+00:00,111.77
NO2,2026-04-04T19:00:00+00:00,105.83
NO2,2026-04-04T20:00:00+00:00,92.89
NO2,2026-04-04T21:00:00+00:00,69.22
NO2,2026-04-04T22:00:00+00:00,38.36
NO2,2026-04-04T23:00:00+00:00,36.72
NO3,2026-04-04T00:00:00+00:00,58.78
NO3,2026-04-04T01:00:00+00:00,58.09
NO3,2026-04-04T02:00:00+00:00,60.94
NO3,2026-04-04T03:00:00+00:00,64.87
NO3,2026-04-04T04:00:00+00:00,67.1
NO3,2026-04-04T05:00:00+00:00,72.65
NO3,2026-04-04T06:00:00+00:00,72.55
NO3,2026-04-04T07:00:00+00:00,68.0
NO3,2026-04-04T08:00:00+00:00,59.75
NO3,2026-04-04T09:00:00+00:00,57.4
NO3,2026-04-04T10:00:00+00:00,56.89
NO3,2026-04-04T11:00:00+00:00,51.62
NO3,2026-04-04T12:00:00+00:00,48.43
NO3,2026-04-04T13:00:00+00:00,47.88
NO3,2026-04-04T14:00:00+00:00,46.2
NO3,2026-04-04T15:00:00+00:00,54.8
NO3,2026-04-04T16:00:00+00:00,70.41
NO3,2026-04-04T17:00:00+00:00,80.15
NO3,2026-04-04T18:00:00+00:00,71.98
NO3,2026-04-04T19:00:00+00:00,79.66
NO3,2026-04-04T20:00:00+00:00,72.8
NO3,2026-04-04T21:00:00+00:00,82.64
NO3,2026-04-04T22:00:00+00:00,49.02
NO3,2026-04-04T23:00:00+00:00,47.01
NO4,2026-04-04T00:00:00+00:00,2.22
NO4,2026-04-04T01:00:00+00:00,2.22
NO4,2026-04-04T02:00:00+00:00,13.97
NO4,2026-04-04T03:00:00+00:00,13.41
NO4,2026-04-04T04:00:00+00:00,12.53
NO4,2026-04-04T05:00:00+00:00,16.98
NO4,2026-04-04T06:00:00+00:00,21.9
NO4,2026-04-04T07:00:00+00:00,17.12
NO4,2026-04-04T08:00:00+00:00,20.1
NO4,2026-04-04T09:00:00+00:00,23.76
NO4,2026-04-04T10:00:00+00:00,22.22
NO4,2026-04-04T11:00:00+00:00,21.42
NO4,2026-04-04T12:00:00+00:00,19.94
NO4,2026-04-04T13:00:00+00:00,18.86
NO4,2026-04-04T14:00:00+00:00,17.45
NO4,2026-04-04T15:00:00+00:00,13.15
NO4,2026-04-04T16:00:00+00:00,9.67
NO4,2026-04-04T17:00:00+00:00,24.64
NO4,2026-04-04T18:00:00+00:00,27.5
NO4,2026-04-04T19:00:00+00:00,27.81
NO4,2026-04-04T20:00:00+00:00,29.92
NO4,2026-04-04T21:00:00+00:00,10.99
NO4,2026-04-04T22:00:00+00:00,24.02
NO4,2026-04-04T23:00:00+00:00,20.56
NO5,2026-04-04T00:00:00+00:00,100.04
NO5,2026-04-04T01:00:00+00:00,89.07
NO5,2026-04-04T02:00:00+00:00,92.68
NO5,2026-04-04T03:00:00+00:00,98.64
NO5,2026-04-04T04:00:00+00:00,108.76
NO5,2026-04-04T05:00:00+00:00,92.2
NO5,2026-04-04T06:00:00+00:00,93.53
NO5,2026-04-04T07:00:00+00:00,94.36
NO5,2026-04-04T08:00:00+00:00,97.88
NO5,2026-04-04T09:00:00+00:00,95.25
NO5,2026-04-04T10:00:00+00:00,92.74
NO5,2026-04-04T11:00:00+00:00,104.07
NO5,2026-04-04T12:00:00+00:00,97.89
NO5,2026-04-04T13:00:00+00:00,94.53
NO5,2026-04-04T14:00:00+00:00,92.91
NO5,2026-04-04T15:00:00+00:00,86.28
NO5,2026-04-04T16:00:00+00:00,90.99
NO5,2026-04-04T17:00:00+00:00,106.96
NO5,2026-04-04T18:00:00+00:00,110.97
NO5,2026-04-04T19:00:00+00:00,105.46
NO5,2026-04-04T20:00:00+00:00,92.83
NO5,2026-04-04T21:00:00+00:00,81.29
NO5,2026-04-04T22:00:00+00:00,94.93
NO5,2026-04-04T23:00:00+00:00,95.25
