zone,timestamp,price_eur_per_mwh
NO1,2026-03-11T00:00:00+00:00,83.41
NO1,2026-03-11T01:00:00+00:00,72.52
NO1,2026-03-11T02:00:00+00:00,68.81
NO1,2026-03-11T03:00:00+00:00,65.74
NO1,2026-03-11T04:00:00+00:00,64.66
NO1,2026-03-11T05:00:00+00:00,72.0
NO1,2026-03-11T06:00:00+00:00,93.09
NO1,2026-03-11T07:00:00+00:00,95.28
NO1,2026-03-11T08:00:00+00:00,88.99
NO1,2026-03-11T09:00:00+00:00,82.27
NO1,2026-03-11T10:00:00+00:00,82.72
NO1,2026-03-11T11:00:00+00:00,68.55
NO1,2026-03-11T12:00:00+00:00,77.49
NO1,2026-03-11T13:00:00+00:00,84.7
NO1,2026-03-11T14:00:00+00:00,89.26
NO1,2026-03-11T15:00:00+00:00,96.88
NO1,2026-03-11T16:00:00+00:00,108.93
NO1,2026-03-11T17:00:00+00:00,120.46
NO1,2026-03-11T18:00:00+00:00,123.23
NO1,2026-03-11T19:00:00+00:00,121.93
NO1,2026-03-11T20:00:00+00:00,114.02
NO1,2026-03-11T21:00:00+00:00,108.84
NO1,2026-03-11T22:00:00+00:00,104.31
NO1,2026-03-11T23:00:00+00:00,96.98
NO2,2026-03-11T00:00:00+00:00,82.76
NO2,2026-03-11T01:00:00+00:00,70.71
NO2,2026-03-11T02:00:00+00:00,67.52
NO2,2026-03-11T03:00:00+00:00,63.71
NO2,2026-03-11T04:00:00+00:00,61.25
NO2,2026-03-11T05:00:00+00:00,69.88
NO2,2026-03-11T06:00:00+00:00,88.89
NO2,2026-03-11T07:00:00+00:00,90.54
NO2,2026-03-11T08:00:00+00:00,84.36
NO2,2026-03-11T09:00:00+00:00,80.96
NO2,2026-03-11T10:00:00+00:00,82.63
NO2,2026-03-11T11:00:00+00:00,70.0
NO2,2026-03-11T12:00:00+00:00,78.97
NO2,2026-03-11T13:00:00+00:00,84.83
NO2,2026-03-11T14:00:00+00:00,86.59
NO2,2026-03-11T15:00:00+00:00,96.64
NO2,2026-03-11T16:00:00+00:00,111.12
NO2,2026-03-11T17:00:00+00:00,123.06
NO2,2026-03-11T18:00:00+00:00,125.99
NO2,2026-03-11T19:00:00+00:00,124.71
NO2,2026-03-11T20:00:00+00:00,116.63
NO2,2026-03-11T21:00:00+00:00,111.31
NO2,2026-03-11T22:00:00+00:00,106.66
NO2,2026-03-11T23:00:00+00:00,99.17
NO3,2026-03-11T00:00:00+00:00,66.96
NO3,2026-03-11T01:00:00+00:00,69.48
NO3,2026-03-11T02:00:00+00:00,63.17
NO3,2026-03-11T03:00:00+00:00,62.85
NO3,2026-03-11T04:00:00+00:00,71.81
NO3,2026-03-11T05:00:00+00:00,71.32
NO3,2026-03-11T06:00:00+00:00,64.36
NO3,2026-03-11T07:00:00+00:00,73.27
NO3,2026-03-11T08:00:00+00:00,77.96
NO3,2026-03-11T09:00:00+00:00,93.4
NO3,2026-03-11T10:00:00+00:00,77.79
NO3,2026-03-11T11:00:00+00:00,73.27
NO3,2026-03-11T12:00:00+00:00,71.85
NO3,2026-03-11T13:00:00+00:00,67.05
NO3,2026-03-11T14:00:00+00:00,86.67
NO3,2026-03-11T15:00:00+00:00,71.21
NO3,2026-03-11T16:00:00+00:00,58.76
NO3,2026-03-11T17:00:00+00:00,59.73
NO3,2026-03-11T18:00:00+00:00,59.13
NO3,2026-03-11T19:00:00+00:00,57.75
NO3,2026-03-11T20:00:00+00:00,54.88
NO3,2026-03-11T21:00:00+00:00,52.27
NO3,2026-03-11T22:00:00+00:00,50.76
NO3,2026-03-11T23:00:00+00:00,46.08
NO4,2026-03-11T00:00:00+00:00,19.19
NO4,2026-03-11T01:00:00+00:00,14.99
NO4,2026-03-11T02:00:00+00:00,17.69
NO4,2026-03-11T03:00:00+00:00,16.49
NO4,2026-03-11T04:00:00+00:00,6.9
NO4,2026-03-11T05:00:00+00:00,16.32
NO4,2026-03-11T06:00:00+00:00,35.75
NO4,2026-03-11T07:00:00+00:00,43.36
NO4,2026-03-11T08:00:00+00:00,40.66
NO4,2026-03-11T09:00:00+00:00,27.31
NO4,2026-03-11T10:00:00+00:00,24.55
NO4,2026-03-11T11:00:00+00:00,20.44
NO4,2026-03-11T12:00:00+00:00,24.11
NO4,2026-03-11T13:00:00+00:00,21.66
NO4,2026-03-11T14:00:00+00:00,14.55
NO4,2026-03-11T15:00:00+00:00,21.61
NO4,2026-03-11T16:00:00+00:00,26.77
NO4,2026-03-11T17:00:00+00:00,26.09
NO4,2026-03-11T18:00:00+00:00,24.04
NO4,2026-03-11T19:00:00+00:00,24.49
NO4,2026-03-11T20:00:00+00:00,22.19
NO4,2026-03-11T21:00:00+00:00,21.14
NO4,2026-03-11T22:00:00+00:00,20.99
NO4,2026-03-11T23:00:00+00:00,20.56
NO5,2026-03-11T00:00:00+00:00,84.82
NO5,2026-03-11T01:00:00+00:00,76.57
NO5,2026-03-11T02:00:00+00:00,71.55
NO5,2026-03-11T03:00:00+00:00,72.72
NO5,2026-03-11T04:00:00+00:00,72.03
NO5,2026-03-11T05:00:00+00:00,76.61
NO5,2026-03-11T06:00:00+00:00,97.27
NO5,2026-03-11T07:00:00+00:00,100.46
NO5,2026-03-11T08:00:00+00:00,95.42
NO5,2026-03-11T09:00:00+00:00,101.33
NO5,2026-03-11T10:00:00+00:00,96.74
NO5,2026-03-11T11:00:00+00:00,100.47
NO5,2026-03-11T12:00:00+00:00,98.37
NO5,2026-03-11T13:00:00+00:00,88.77
NO5,2026-03-11T14:00:00+00:00,95.55
NO5,2026-03-11T15:00:00+00:00,97.3
NO5,2026-03-11T16:00:00+00:00,103.51
NO5,2026-03-11T17:00:00+00:00,114.02
NO5,2026-03-11T18:00:00+00:00,116.44
NO5,2026-03-11T19:00:00+00:00,115.14
NO5,2026-03-11T20:00:00+00:00,107.61
NO5,2026-03-11T21:00:00+00:00,102.69
NO5,2026-03-11T22:00:00+00:00,98.44
NO5,2026-03-11T23:00:00+00:00,91.71
