zone,timestamp,price_eur_per_mwh
NO1,2026-04-23T00:00:00+00:00,91.7
NO1,2026-04-23T01:00:00+00:00,90.27
NO1,2026-04-23T02:00:00+00:00,89.85
NO1,2026-04-23T03:00:00+00:00,91.22
NO1,2026-04-23T04:00:00+00:00,105.31
NO1,2026-04-23T05:00:00+00:00,110.36
NO1,2026-04-23T06:00:00+00:00,107.89
NO1,2026-04-23T07:00:00+00:00,97.44
NO1,2026-04-23T08:00:00+00:00,76.33
NO1,2026-04-23T09:00:00+00:00,68.41
NO1,2026-04-23T10:00:00+00:00,61.13
NO1,2026-04-23T11:00:00+00:00,43.79
NO1,2026-04-23T12:00:00+00:00,38.84
NO1,2026-04-23T13:00:00+00:00,38.21
NO1,2026-04-23T14:00:00+00:00,50.59
NO1,2026-04-23T15:00:00+00:00,38.82
NO1,2026-04-23T16:00:00+00:00,88.46
NO1,2026-04-23T17:00:00+00:00,97.58
NO1,2026-04-23T18:00:00+00:00,109.75
NO1,2026-04-23T19:00:00+00:00,111.0
NO1,2026-04-23T20:00:00+00:00,105.3
NO1,2026-04-23T21:00:00+00:00,99.2
NO1,2026-04-23T22:00:00+00:00,92.24
NO1,2026-04-23T23:00:00+00:00,95.29
NO2,2026-04-23T00:00:00+00:00,94.34
NO2,2026-04-23T01:00:00+00:00,93.71
NO2,2026-04-23T02:00:00+00:00,93.17
NO2,2026-04-23T03:00:00+00:00,94.85
NO2,2026-04-23T04:00:00+00:00,110.48
NO2,2026-04-23T05:00:00+00:00,114.9
NO2,2026-04-23T06:00:00+00:00,110.91
NO2,2026-04-23T07:00:00+00:00,98.25
NO2,2026-04-23T08:00:00+00:00,64.92
NO2,2026-04-23T09:00:00+00:00,50.93
NO2,2026-04-23T10:00:00+00:00,52.71
NO2,2026-04-23T11:00:00+00:00,53.41
NO2,2026-04-23T12:00:00+00:00,50.14
NO2,2026-04-23T13:00:00+00:00,39.89
NO2,2026-04-23T14:00:00+00:00,53.23
NO2,2026-04-23T15:00:00+00:00,1.52
NO2,2026-04-23T16:00:00+00:00,88.92
NO2,2026-04-23T17:00:00+00:00,100.0
NO2,2026-04-23T18:00:00+00:00,112.13
NO2,2026-04-23T19:00:00+00:00,114.93
NO2,2026-04-23T20:00:00+00:00,106.79
NO2,2026-04-23T21:00:00+00:00,100.96
NO2,2026-04-23T22:00:00+00:00,93.82
NO2,2026-04-23T23:00:00+00:00,98.16
NO3,2026-04-23T00:00:00+00:00,55.18
NO3,2026-04-23T01:00:00+00:00,48.0
NO3,2026-04-23T02:00:00+00:00,48.38
NO3,2026-04-23T03:00:00+00:00,47.76
NO3,2026-04-23T04:00:00+00:00,44.51
NO3,2026-04-23T05:00:00+00:00,50.84
