zone,timestamp,price_eur_per_mwh
NO1,2026-03-25T00:00:00+00:00,46.63
NO1,2026-03-25T01:00:00+00:00,44.79
NO1,2026-03-25T02:00:00+00:00,44.83
NO1,2026-03-25T03:00:00+00:00,45.34
NO1,2026-03-25T04:00:00+00:00,45.37
NO1,2026-03-25T05:00:00+00:00,60.02
NO1,2026-03-25T06:00:00+00:00,70.37
NO1,2026-03-25T07:00:00+00:00,79.61
NO1,2026-03-25T08:00:00+00:00,88.96
NO1,2026-03-25T09:00:00+00:00,70.79
NO1,2026-03-25T10:00:00+00:00,68.11
NO1,2026-03-25T11:00:00+00:00,67.0
NO1,2026-03-25T12:00:00+00:00,66.18
NO1,2026-03-25T13:00:00+00:00,64.33
NO1,2026-03-25T14:00:00+00:00,68.86
NO1,2026-03-25T15:00:00+00:00,70.03
NO1,2026-03-25T16:00:00+00:00,109.14
NO1,2026-03-25T17:00:00+00:00,106.94
NO1,2026-03-25T18:00:00+00:00,116.81
NO1,2026-03-25T19:00:00+00:00,119.49
NO1,2026-03-25T20:00:00+00:00,115.89
NO1,2026-03-25T21:00:00+00:00,116.65
NO1,2026-03-25T22:00:00+00:00,110.29
NO1,2026-03-25T23:00:00+00:00,107.19
NO2,2026-03-25T00:00:00+00:00,46.82
NO2,2026-03-25T01:00:00+00:00,47.06
NO2,2026-03-25T02:00:00+00:00,48.32
NO2,2026-03-25T03:00:00+00:00,49.43
NO2,2026-03-25T04:00:00+00:00,49.6
NO2,2026-03-25T05:00:00+00:00,41.99
NO2,2026-03-25T06:00:00+00:00,48.99
NO2,2026-03-25T07:00:00+00:00,64.45
NO2,2026-03-25T08:00:00+00:00,69.44
NO2,2026-03-25T09:00:00+00:00,48.87
NO2,2026-03-25T10:00:00+00:00,43.47
NO2,2026-03-25T11:00:00+00:00,44.07
NO2,2026-03-25T12:00:00+00:00,44.25
NO2,2026-03-25T13:00:00+00:00,42.15
NO2,2026-03-25T14:00:00+00:00,49.76
NO2,2026-03-25T15:00:00+00:00,50.74
NO2,2026-03-25T16:00:00+00:00,85.0
NO2,2026-03-25T17:00:00+00:00,108.3
NO2,2026-03-25T18:00:00+00:00,119.09
NO2,2026-03-25T19:00:00+00:00,122.1
NO2,2026-03-25T20:00:00+00:00,118.4
NO2,2026-03-25T21:00:00+00:00,109.64
NO2,2026-03-25T22:00:00+00:00,104.39
NO2,2026-03-25T23:00:00+00:00,80.84
NO3,2026-03-25T00:00:00+00:00,36.55
NO3,2026-03-25T01:00:00+00:00,35.63
NO3,2026-03-25T02:00:00+00:00,35.8
NO3,2026-03-25T03:00:00+00:00,35.64
NO3,2026-03-25T04:00:00+00:00,34.75
NO3,2026-03-25T05:00:00+00:00,43.77
NO3,2026-03-25T06:00:00+00:00,54.3
NO3,2026-03-25T07:00:00+00:00,57.66
NO3,2026-03-25T08:00:00+00:00,61.3
NO3,2026-03-25T09:00:00+00:00,53.52
NO3,2026-03-25T10:00:00+00:00,50.86
NO3,2026-03-25T11:00:00+00:00,51.24
NO3,2026-03-25T12:00:00+00:00,50.55
NO3,2026-03-25T13:00:00+00:00,48.82
NO3,2026-03-25T14:00:00+00:00,50.94
NO3,2026-03-25T15:00:00+00:00,53.84
NO3,2026-03-25T16:00:00+00:00,75.85
NO3,2026-03-25T17:00:00+00:00,76.75
NO3,2026-03-25T18:00:00+00:00,75.23
NO3,2026-03-25T19:00:00+00:00,71.35
NO3,2026-03-25T20:00:00+00:00,68.36
NO3,2026-03-25T21:00:00+00:00,68.01
NO3,2026-03-25T22:00:00+00:00,63.78
NO3,2026-03-25T23:00:00+00:00,60.09
NO4,2026-03-25T00:00:00+00:00,12.46
NO4,2026-03-25T01:00:00+00:00,12.42
NO4,2026-03-25T02:00:00+00:00,12.42
NO4,2026-03-25T03:00:00+00:00,12.48
NO4,2026-03-25T04:00:00+00:00,12.54
NO4,2026-03-25T05:00:00+00:00,17.5
NO4,2026-03-25T06:00:00+00:00,15.0
NO4,2026-03-25T07:00:00+00:00,16.91
NO4,2026-03-25T08:00:00+00:00,20.09
NO4,2026-03-25T09:00:00+00:00,24.52
NO4,2026-03-25T10:00:00+00:00,22.89
NO4,2026-03-25T11:00:00+00:00,22.51
NO4,2026-03-25T12:00:00+00:00,21.5
NO4,2026-03-25T13:00:00+00:00,20.16
NO4,2026-03-25T14:00:00+00:00,20.66
NO4,2026-03-25T15:00:00+00:00,19.14
NO4,2026-03-25T16:00:00+00:00,19.58
NO4,2026-03-25T17:00:00+00:00,16.91
NO4,2026-03-25T18:00:00+00:00,19.58
NO4,2026-03-25T19:00:00+00:00,23.69
NO4,2026-03-25T20:00:00+00:00,19.58
NO4,2026-03-25T21:00:00+00:00,21.21
NO4,2026-03-25T22:00:00+00:00,20.89
NO4,2026-03-25T23:00:00+00:00,21.75
NO5,2026-03-25T00:00:00+00:00,100.46
NO5,2026-03-25T01:00:00+00:00,98.86
NO5,2026-03-25T02:00:00+00:00,98.79
NO5,2026-03-25T03:00:00+00:00,98.96
NO5,2026-03-25T04:00:00+00:00,99.83
NO5,2026-03-25T05:00:00+00:00,101.96
NO5,2026-03-25T06:00:00+00:00,109.91
NO5,2026-03-25T07:00:00+00:00,117.14
NO5,2026-03-25T08:00:00+00:00,117.56
NO5,2026-03-25T09:00:00+00:00,117.36
NO5,2026-03-25T10:00:00+00:00,118.79
NO5,2026-03-25T11:00:00+00:00,117.96
NO5,2026-03-25T12:00:00+00:00,115.43
NO5,2026-03-25T13:00:00+00:00,110.96
NO5,2026-03-25T14:00:00+00:00,115.42
NO5,2026-03-25T15:00:00+00:00,110.97
NO5,2026-03-25T16:00:00+00:00,101.97
NO5,2026-03-25T17:00:00+00:00,104.39
NO5,2026-03-25T18:00:00+00:00,113.06
NO5,2026-03-25T19:00:00+00:00,115.15
NO5,2026-03-25T20:00:00+00:00,111.63
NO5,2026-03-25T21:00:00+00:00,110.73
NO5,2026-03-25T22:00:00+00:00,105.03
NO5,2026-03-25T23:00:00+00:00,100.7
